Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Barrel_Jack_Switch","BarrelJack_Wuerth_6941xx301002",258.930000,-74.950000,0.000000,top
"J3","terminal_custom_12pin","1984714",212.130000,-83.040000,0.000000,top
"J4","Conn_01x08_Male","PinHeader_1x08_P2.54mm_Vertical",197.160000,-77.375000,180.000000,top
"J5","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",255.960000,-69.100000,0.000000,top
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",203.570000,-55.352500,-90.000000,top
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",207.900000,-51.370000,90.000000,top
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",229.750000,-70.372500,-90.000000,top
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",203.550000,-70.862500,-90.000000,top
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",229.770000,-56.502500,-90.000000,top
"R6","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.090000,-55.347500,90.000000,top
"R7","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",206.042500,-69.950000,180.000000,top
"R8","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",229.780000,-59.980000,90.000000,top
"R9","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",229.770000,-73.807500,90.000000,top
"R10","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",223.620000,-53.822500,90.000000,top
"R11","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",220.460000,-53.837500,90.000000,top
"R12","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",222.060000,-53.820000,90.000000,top
"R13","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",218.850000,-53.837500,90.000000,top
"R14","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",232.920000,-72.230000,45.000000,top
"R15","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",249.660000,-61.462500,-90.000000,top
"R16","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",236.337500,-49.690000,0.000000,top
"R17","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",234.974765,-68.045235,45.000000,top
"R18","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",207.510000,-77.752500,-90.000000,top
"R19","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",203.890000,-77.722500,-90.000000,top
"R20","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.620000,-77.740000,-90.000000,top
"R21","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",201.980000,-77.740000,-90.000000,top
"R22","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",200.140000,-77.690000,-90.000000,top
"R23","DNI","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",236.337500,-51.300000,180.000000,top
"R24","DNI","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",207.960000,-55.402500,-90.000000,top
"R25","5.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",262.610000,-60.712500,90.000000,top
"R26","5.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",249.670000,-65.552500,90.000000,top
"R27","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",251.220000,-61.422500,-90.000000,top
"R28","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",252.770000,-61.430000,-90.000000,top
"R29","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",254.320000,-61.410000,-90.000000,top
"R30","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",255.910000,-61.467500,-90.000000,top
"R31","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",204.510000,-74.970000,180.000000,top
"R32","DNI","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",204.480000,-73.370000,180.000000,top
"R33","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",264.220000,-60.700000,90.000000,top
"R34","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",253.070000,-57.690000,180.000000,top
"R35","28k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",253.092500,-56.120000,0.000000,top
"R36","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",205.070000,-51.777500,-90.000000,top
"U1","receiver_433MHz","PinHeader_1x05_P2.54mm_Vertical",200.914000,-50.038000,0.000000,top
"U2","TXS0104EDR","SOIC-14_3.9x8.7mm_P1.27mm",213.370000,-53.355000,-90.000000,top
"U3","receiver_433MHz","PinHeader_1x05_P2.54mm_Vertical",227.076000,-64.008000,0.000000,top
"U4","receiver_433MHz","PinHeader_1x05_P2.54mm_Vertical",200.914000,-64.008000,0.000000,top
"U5","receiver_433MHz","PinHeader_1x05_P2.54mm_Vertical",227.076000,-50.038000,0.000000,top
"U6","PS2501-4","PS2501-4XSM",205.570000,-67.400000,90.000000,top
"U7","ECS-.327-9-1210-TR","XTAL_ECS-.327-9-1210-TR",246.400000,-52.180000,135.000000,top
"U8","ECS-480-8-36-RWN-TR","XTAL_ECS-480-8-36-RWN-TR",242.610000,-51.510000,-45.000000,top
"U9","SN74HCT245PW","TSSOP-20_4.4x6.5mm_P0.65mm",237.570000,-73.790000,-135.000000,top
"U10","STM32L431RCTx","LQFP-64_10x10mm_P0.5mm",242.062000,-61.468000,-90.000000,top
"U11","LP5907MFX-3.3","SOT-23-5",247.100000,-73.580000,0.000000,top
"U12","USB-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",263.210000,-67.870000,90.000000,top
"U13","XR21B1411","XR21B1411",253.987500,-66.195000,180.000000,top
"U14","NCP361","NCP361",259.160000,-59.010000,0.000000,top
